Date,{"SpaceDryBulbTemperature":"Kids Bedroom"},{"SpaceDryBulbTemperature":"Bathroom"},{"SpaceDryBulbTemperature":"Storage"},{"SpaceDryBulbTemperature":"Kitchen"},{"SpaceDryBulbTemperature":"Laundry"},{"SpaceDryBulbTemperature":"Livingroom"},{"SpaceDryBulbTemperature":"Main Bedroom"},{"SpaceDryBulbTemperature":"Hallway"}
02/17 - 3:30,19.617,19.879,20.104,19.767,20.112,19.297,19.483,19.978
02/17 - 3:45,19.605,19.864,20.094,19.748,20.096,19.279,19.470,19.968
02/17 - 4:00,19.592,19.847,20.085,19.728,20.079,19.261,19.457,19.959
02/17 - 4:15,19.578,19.831,20.075,19.707,20.062,19.242,19.444,19.949
02/17 - 4:30,19.565,19.814,20.066,19.687,20.045,19.222,19.430,19.939
02/17 - 4:45,19.551,19.798,20.056,19.667,20.029,19.203,19.417,19.930
02/17 - 5:00,19.537,19.781,20.046,19.647,20.012,19.183,19.403,19.920
02/17 - 5:15,19.524,19.765,20.037,19.627,19.995,19.164,19.389,19.911
02/17 - 5:30,19.510,19.749,20.027,19.607,19.978,19.145,19.375,19.901
02/17 - 5:45,19.497,19.733,20.017,19.587,19.961,19.126,19.362,19.892
02/17 - 6:00,19.485,19.718,20.008,19.569,19.944,19.108,19.348,19.883
02/17 - 6:15,19.476,19.705,19.998,19.555,19.928,19.095,19.337,19.874
02/17 - 6:30,19.469,19.695,19.989,19.545,19.913,19.087,19.328,19.864
02/17 - 6:45,19.467,19.690,19.979,19.541,19.899,19.085,19.323,19.855
02/17 - 7:00,19.457,19.675,19.970,19.525,19.882,19.080,19.314,19.846
02/17 - 7:15,19.455,19.667,19.960,19.519,19.867,19.091,19.311,19.838
02/17 - 7:30,19.458,19.665,19.951,19.523,19.853,19.117,19.315,19.829
02/17 - 7:45,19.465,19.667,19.942,19.532,19.840,19.155,19.324,19.822
02/17 - 8:00,19.470,19.667,19.933,19.538,19.827,19.196,19.334,19.814
02/17 - 8:15,19.467,19.661,19.925,19.563,19.815,19.274,19.356,19.808
02/17 - 8:30,19.464,19.655,19.917,19.587,19.804,19.357,19.380,19.802
02/17 - 8:45,19.461,19.650,19.910,19.611,19.795,19.429,19.404,19.797
02/17 - 9:00,19.463,19.652,19.903,19.644,19.790,19.495,19.430,19.792
02/17 - 9:15,19.474,19.661,19.896,19.679,19.788,19.558,19.458,19.788
02/17 - 9:30,19.487,19.673,19.890,19.714,19.787,19.617,19.486,19.785
02/17 - 9:45,19.505,19.691,19.885,19.755,19.791,19.677,19.514,19.782
02/17 - 10:00,19.518,19.703,19.879,19.780,19.792,19.725,19.536,19.780
02/17 - 10:15,19.539,19.723,19.874,19.764,19.794,19.750,19.547,19.779
02/17 - 10:30,19.563,19.746,19.869,19.762,19.798,19.772,19.557,19.778
02/17 - 10:45,19.585,19.767,19.865,19.770,19.802,19.795,19.567,19.776
02/17 - 11:00,19.600,19.784,19.860,19.777,19.805,19.818,19.578,19.775
02/17 - 11:15,19.608,19.792,19.856,19.780,19.808,19.831,19.584,19.774
02/17 - 11:30,19.614,19.798,19.853,19.781,19.810,19.838,19.589,19.772
02/17 - 11:45,19.617,19.803,19.849,19.782,19.812,19.843,19.593,19.770
02/17 - 12:00,19.617,19.803,19.845,19.777,19.813,19.842,19.595,19.768
02/17 - 12:15,19.609,19.797,19.841,19.767,19.813,19.831,19.592,19.765
02/17 - 12:30,19.599,19.790,19.838,19.756,19.811,19.814,19.587,19.763
02/17 - 12:45,19.588,19.781,19.834,19.747,19.809,19.796,19.581,19.761
02/17 - 13:00,19.579,19.776,19.829,19.743,19.808,19.780,19.577,19.758
02/17 - 13:15,19.577,19.775,19.826,19.747,19.808,19.777,19.576,19.756
02/17 - 13:30,19.576,19.776,19.822,19.751,19.808,19.778,19.578,19.753
02/17 - 13:45,19.576,19.777,19.818,19.756,19.808,19.780,19.579,19.751
02/17 - 14:00,19.575,19.777,19.814,19.758,19.808,19.780,19.579,19.748
02/17 - 14:15,19.570,19.774,19.810,19.756,19.807,19.774,19.576,19.745
02/17 - 14:30,19.565,19.771,19.807,19.753,19.806,19.765,19.573,19.743
02/17 - 14:45,19.558,19.766,19.803,19.748,19.805,19.753,19.568,19.740
02/17 - 15:00,19.550,19.761,19.799,19.742,19.803,19.738,19.563,19.737
02/17 - 15:15,19.543,19.755,19.795,19.736,19.802,19.724,19.557,19.734
02/17 - 15:30,19.535,19.749,19.792,19.729,19.800,19.709,19.552,19.731
02/17 - 15:45,19.527,19.743,19.788,19.720,19.797,19.692,19.545,19.728
02/17 - 16:00,19.520,19.738,19.784,19.715,19.795,19.678,19.540,19.725
02/17 - 16:15,19.517,19.736,19.780,19.712,19.793,19.668,19.536,19.721
02/17 - 16:30,19.514,19.733,19.776,19.710,19.791,19.660,19.533,19.717
02/17 - 16:45,19.511,19.731,19.772,19.706,19.789,19.651,19.529,19.714
02/17 - 17:00,19.506,19.726,19.768,19.701,19.786,19.641,19.525,19.709
02/17 - 17:15,19.499,19.720,19.764,19.692,19.782,19.626,19.519,19.705
02/17 - 17:30,19.490,19.712,19.759,19.682,19.778,19.609,19.511,19.701
02/17 - 17:45,19.481,19.703,19.755,19.670,19.773,19.589,19.503,19.696
02/17 - 18:00,19.471,19.693,19.750,19.659,19.768,19.568,19.495,19.691
02/17 - 18:15,19.461,19.684,19.745,19.647,19.763,19.548,19.486,19.685
02/17 - 18:30,19.451,19.674,19.740,19.635,19.757,19.527,19.477,19.680
02/17 - 18:45,19.441,19.664,19.734,19.623,19.751,19.506,19.467,19.674
02/17 - 19:00,19.428,19.651,19.729,19.607,19.745,19.476,19.453,19.668
02/17 - 19:15,19.414,19.637,19.723,19.590,19.736,19.449,19.441,19.662
02/17 - 19:30,19.398,19.622,19.717,19.571,19.729,19.418,19.429,19.655
02/17 - 19:45,19.384,19.606,19.711,19.553,19.720,19.392,19.416,19.648
02/17 - 20:00,19.376,19.596,19.704,19.543,19.712,19.377,19.409,19.642
02/17 - 20:15,19.365,19.583,19.698,19.529,19.703,19.360,19.398,19.634
02/17 - 20:30,19.354,19.570,19.691,19.514,19.693,19.343,19.388,19.627
02/17 - 20:45,19.344,19.557,19.684,19.500,19.684,19.326,19.377,19.620
02/17 - 21:00,19.344,19.555,19.677,19.501,19.676,19.324,19.373,19.613
02/17 - 21:15,19.365,19.570,19.670,19.525,19.671,19.361,19.383,19.605
02/17 - 21:30,19.390,19.587,19.663,19.550,19.666,19.409,19.398,19.598
02/17 - 21:45,19.413,19.602,19.657,19.572,19.661,19.455,19.412,19.591
02/17 - 22:00,19.422,19.606,19.651,19.577,19.654,19.483,19.417,19.584
02/17 - 22:15,19.420,19.600,19.645,19.570,19.645,19.488,19.414,19.578
02/17 - 22:30,19.415,19.592,19.638,19.561,19.637,19.485,19.409,19.571
02/17 - 22:45,19.409,19.584,19.632,19.552,19.629,19.479,19.403,19.565
02/17 - 23:00,19.404,19.576,19.626,19.542,19.621,19.471,19.396,19.559
02/17 - 23:15,19.398,19.568,19.620,19.533,19.614,19.462,19.390,19.553
02/17 - 23:30,19.392,19.560,19.614,19.523,19.607,19.453,19.383,19.547
02/17 - 23:45,19.386,19.552,19.608,19.514,19.599,19.445,19.376,19.541
02/18 - 0:00,19.381,19.545,19.602,19.506,19.592,19.436,19.370,19.535
02/18 - 0:15,19.375,19.537,19.596,19.498,19.586,19.428,19.364,19.529
02/18 - 0:30,19.370,19.530,19.590,19.490,19.579,19.419,19.358,19.523
02/18 - 0:45,19.365,19.523,19.584,19.482,19.572,19.411,19.352,19.517
02/18 - 1:00,19.358,19.514,19.578,19.473,19.565,19.401,19.345,19.511
02/18 - 1:15,19.349,19.503,19.571,19.460,19.557,19.386,19.336,19.505
02/18 - 1:30,19.337,19.490,19.565,19.444,19.550,19.367,19.326,19.499
02/18 - 1:45,19.324,19.475,19.559,19.427,19.542,19.344,19.314,19.493
02/18 - 2:00,19.313,19.464,19.553,19.414,19.534,19.325,19.303,19.487
02/18 - 2:15,19.307,19.457,19.547,19.406,19.527,19.313,19.296,19.482
02/18 - 2:30,19.302,19.450,19.541,19.400,19.521,19.305,19.290,19.476
02/18 - 2:45,19.298,19.444,19.535,19.394,19.514,19.299,19.285,19.470
02/18 - 3:00,19.289,19.434,19.529,19.382,19.506,19.287,19.277,19.464
02/18 - 3:15,19.271,19.415,19.522,19.358,19.497,19.258,19.262,19.458
02/18 - 3:30,19.249,19.393,19.516,19.330,19.487,19.220,19.244,19.452
02/18 - 3:45,19.224,19.370,19.510,19.299,19.477,19.175,19.223,19.446
02/18 - 4:00,19.201,19.349,19.503,19.272,19.467,19.131,19.203,19.440
02/18 - 4:15,19.186,19.335,19.497,19.254,19.459,19.102,19.188,19.434
02/18 - 4:30,19.173,19.322,19.490,19.237,19.450,19.079,19.175,19.427
02/18 - 4:45,19.160,19.309,19.484,19.221,19.440,19.057,19.163,19.421
02/18 - 5:00,19.148,19.296,19.477,19.204,19.431,19.037,19.150,19.415
02/18 - 5:15,19.134,19.281,19.471,19.186,19.421,19.013,19.137,19.408
02/18 - 5:30,19.120,19.266,19.464,19.167,19.411,18.989,19.123,19.402
02/18 - 5:45,19.105,19.251,19.457,19.148,19.401,18.964,19.109,19.395
02/18 - 6:00,19.094,19.238,19.451,19.132,19.391,18.943,19.096,19.388
02/18 - 6:15,19.089,19.232,19.444,19.127,19.383,18.971,19.097,19.382
02/18 - 6:30,19.088,19.228,19.438,19.127,19.376,19.039,19.113,19.376
02/18 - 6:45,19.089,19.226,19.431,19.129,19.372,19.141,19.142,19.370
02/18 - 7:00,19.093,19.228,19.425,19.140,19.375,19.243,19.185,19.366
02/18 - 7:15,19.103,19.235,19.420,19.161,19.386,19.374,19.245,19.363
02/18 - 7:30,19.115,19.244,19.414,19.190,19.407,19.515,19.316,19.363
02/18 - 7:45,19.128,19.254,19.409,19.237,19.439,19.660,19.397,19.366
02/18 - 8:00,19.138,19.261,19.404,19.289,19.480,19.801,19.481,19.373
02/18 - 8:15,19.140,19.262,19.399,19.380,19.524,19.914,19.548,19.384
02/18 - 8:30,19.140,19.262,19.395,19.486,19.566,20.031,19.598,19.398
02/18 - 8:45,19.140,19.262,19.391,19.604,19.601,20.165,19.645,19.415
02/18 - 9:00,19.147,19.271,19.388,19.784,19.631,20.327,19.699,19.431
02/18 - 9:15,19.165,19.290,19.385,19.913,19.656,20.510,19.762,19.445
02/18 - 9:30,19.184,19.310,19.383,20.039,19.676,20.693,19.826,19.457
02/18 - 9:45,19.201,19.328,19.382,20.176,19.695,20.859,19.888,19.468
